Depth;ABDCQF01;ABDCQF02;ABDCQF03;ABDCQF04;BS;CALI;DRHO;DT;DTS;GR;NPHI;PEF;RACEHM;RACELM;RHOB;ROP;RPCEHM;RPCELM;RT
3092.6;2.5852;2.5946;2.612;2.5821;8.5;8.5782;0.0426;62.34;105.9975;24.0827;0.0512;7.3822;10.7219;12.3317;2.5935;13.7534;10.5907;11.007;10.5907
3092.7;2.5816;2.5918;2.6257;2.5826;8.5;8.625;0.0479;62.0801;105.2609;24.1934;0.0459;7.3765;10.5199;12.1501;2.5968;13.7548;11.0262;11.2182;11.0262
3092.8;2.5835;2.5869;2.634;2.5821;8.5;8.6249;0.0539;61.8202;104.5255;22.141;0.0448;7.3364;10.2884;12.0274;2.5983;13.7552;11.1436;11.2459;11.1436
3092.9;2.5886;2.5807;2.6287;2.5785;8.5;8.6017;0.057;61.5466;104.2944;18.5722;0.0477;7.279;10.26;12.0834;2.5947;13.7555;10.8272;11.0401;10.8272
3093;2.5912;2.5753;2.6124;2.5712;8.5;8.6249;0.0558;61.2722;104.0936;14.6138;0.0461;7.2352;10.3246;12.0758;2.5867;13.7559;10.517;10.8575;10.517
3093.1;2.5875;2.573;2.5958;2.5641;8.5;8.6015;0.0519;60.998;103.8936;10.7818;0.0508;7.2251;10.3643;12.0198;2.5791;13.7464;10.4026;10.7936;10.4026
3093.2;2.579;2.5755;2.588;2.5615;8.5;8.5781;0.048;60.8353;104.0276;8.5783;0.0533;7.2402;10.4472;12.0881;2.576;13.7368;10.368;10.7708;10.368
3093.3;2.5709;2.5815;2.5898;2.5644;8.5;8.5781;0.0451;60.6857;104.2007;7.3228;0.0559;7.2671;10.5538;12.2007;2.5777;13.7272;10.3234;10.725;10.3234
3093.4;2.5672;2.5882;2.5952;2.5718;8.5;8.5781;0.0435;60.5363;104.3739;7.4829;0.0579;7.2879;10.5914;12.1746;2.5818;13.6947;10.2228;10.6671;10.2228
3093.5;2.5689;2.5939;2.5985;2.5808;8.5;8.5782;0.0434;60.4713;104.6255;7.7978;0.0587;7.3052;10.5414;12.1195;2.5861;13.6622;10.0997;10.5725;10.0997
3093.6;2.5746;2.5983;2.5992;2.5897;8.5;8.6094;0.0445;60.4213;104.8913;7.4625;0.0559;7.3361;10.4992;12.1577;2.5902;13.6282;9.98;10.484;9.98
3093.7;2.5824;2.6021;2.5995;2.5966;8.5;8.6249;0.0463;60.3713;105.1568;7.7449;0.056;7.3948;10.5073;12.1724;2.5942;13.0687;9.8818;10.4209;9.8818
3093.8;2.5894;2.6046;2.6002;2.5992;8.5;8.5938;0.0477;60.3509;105.3195;8.7066;0.0592;7.4696;10.5278;12.1297;2.597;12.5092;9.7985;10.3867;9.7985
3093.9;2.5936;2.6045;2.6021;2.5977;8.5;8.5781;0.0485;60.3378;105.4564;9.9752;0.0594;7.5313;10.5896;12.0508;2.5982;11.95;9.6619;10.3054;9.6619
